bar_time,candle_close_time_utc,data_arrival_time_utc,decision_time_utc,quote_arrival_time_utc,arrival_latency_sec,execution_latency_sec,total_latency_sec,candidate_a_equity,candidate_a_cash,candidate_a_pos,candidate_a_units,candidate_b_equity,candidate_b_cash,candidate_b_btc_pos,candidate_b_eth_pos,candidate_b_sol_pos,candidate_b_bnb_pos,trades_executed,anomaly,regime
2026-09-19 16:00:00,2026-09-19 16:00:00,2026-09-19 16:00:00,2026-09-23 05:38:32 UTC,2026-09-19 16:00:00,0.0,0.005,0.0055,9985.0093,0.0,ETHUSDT,3.782593,9985.0093,0.0,1,1,1,1,5,NONE,DEMO_REPLAY
2026-09-19 20:00:00,2026-09-19 20:00:00,2026-09-19 20:00:00,2026-09-23 05:38:32 UTC,2026-09-19 20:00:00,0.0,0.004,0.0045,9954.2341,0.0,ETHUSDT,3.782593,9937.4196,0.0,1,1,1,1,0,NONE,DEMO_REPLAY
2026-09-20 00:00:00,2026-09-20 00:00:00,2026-09-20 00:00:00,2026-09-23 05:38:32 UTC,2026-09-20 00:00:00,0.0,0.005,0.0053,9784.0174,0.0,ETHUSDT,3.782593,9785.9246,0.0,1,1,1,1,0,NONE,DEMO_REPLAY
2026-09-20 04:00:00,2026-09-20 04:00:00,2026-09-20 04:00:00,2026-09-23 05:38:32 UTC,2026-09-20 04:00:00,0.0,0.005,0.005,9742.1441,0.0,ETHUSDT,3.782593,9751.381,0.0,1,1,1,1,0,NONE,DEMO_REPLAY
2026-09-20 08:00:00,2026-09-20 08:00:00,2026-09-20 08:00:00,2026-09-23 05:38:32 UTC,2026-09-20 08:00:00,0.0,0.006,0.0064,9751.1467,0.0,ETHUSDT,3.782593,9773.655,0.0,1,1,1,1,0,NONE,DEMO_REPLAY
2026-09-20 12:00:00,2026-09-20 12:00:00,2026-09-20 12:00:00,2026-09-23 05:38:32 UTC,2026-09-20 12:00:00,0.0,0.005,0.0047,9878.9227,0.0,ETHUSDT,3.782593,9841.3103,0.0,1,1,1,1,0,NONE,DEMO_REPLAY
2026-09-20 16:00:00,2026-09-20 16:00:00,2026-09-20 16:00:00,2026-09-23 05:38:32 UTC,2026-09-20 16:00:00,0.0,0.006,0.0062,9956.4658,0.0,ETHUSDT,3.782593,9945.9847,0.0,1,1,1,1,0,NONE,DEMO_REPLAY
2026-09-20 20:00:00,2026-09-20 20:00:00,2026-09-20 20:00:00,2026-09-23 05:38:32 UTC,2026-09-20 20:00:00,0.0,0.005,0.0052,10000.0791,0.0,ETHUSDT,3.782593,9981.9798,0.0,1,1,1,1,0,NONE,DEMO_REPLAY
2026-09-21 00:00:00,2026-09-21 00:00:00,2026-09-21 00:00:00,2026-09-23 05:38:32 UTC,2026-09-21 00:00:00,0.0,0.005,0.0054,10080.5727,0.0,ETHUSDT,3.782593,10033.6926,0.0,1,1,1,1,0,NONE,DEMO_REPLAY
2026-09-21 04:00:00,2026-09-21 04:00:00,2026-09-21 04:00:00,2026-09-23 05:38:32 UTC,2026-09-21 04:00:00,0.0,0.005,0.0047,10064.7615,0.0,ETHUSDT,3.782593,10024.3612,0.0,1,1,1,1,0,NONE,DEMO_REPLAY
