entry_time,exit_time,symbol,entry_price,exit_price,units,leverage,gross_ret_pct,net_pnl_usdt,fees_paid_usdt,exit_reason,bars_held
2025-01-01 16:00:00,2025-01-07 16:00:00,BTCUSDT,94432.94,97952.26,0.3174316080808243,3.0,11.180378372207809,1092.2688922254433,24.874514725560804,SIGNAL_EXIT,36
2025-01-14 12:00:00,2025-01-20 00:00:00,BTCUSDT,96548.04,100949.65653724999,0.34102870636505206,3.0,13.676973257820658,1473.5362089918704,27.54138462151575,STOP_LOSS,34
2025-01-20 04:00:00,2025-01-20 16:00:00,BTCUSDT,101891.94,101942.58029418,0.36350877651667696,3.0,0.14910000000001256,-11.23742673033443,29.64561811015238,STOP_LOSS,4
2025-01-20 20:00:00,2025-01-21 04:00:00,BTCUSDT,103691.64,102936.01,0.35583453337989995,3.0,-2.18618395851393,-298.1817981269264,29.302549669070974,SIGNAL_EXIT,2
2025-01-21 04:00:00,2025-01-21 12:00:00,SOLUSDT,237.87,239.44,150.91026106631483,3.0,1.980073149199134,208.02194754633854,28.90716232777474,SIGNAL_EXIT,2
2025-01-21 12:00:00,2025-01-22 04:00:00,BTCUSDT,103758.25,105600.01,0.3509866769940486,3.0,5.325147638862438,616.7818649402064,29.65135728035064,SIGNAL_EXIT,4
2025-01-22 04:00:00,2025-01-23 00:00:00,SOLUSDT,254.11,254.23629267,150.10524489803177,3.0,0.14909999999999762,-11.572568619382416,30.529760778558426,STOP_LOSS,6
2025-01-23 04:00:00,2025-01-23 16:00:00,SOLUSDT,248.84,249.4,152.6876869080581,3.0,0.6751326153351579,55.040857376617126,30.464247291895756,SIGNAL_EXIT,3
2025-01-23 16:00:00,2025-01-23 20:00:00,BTCUSDT,105263.52,103770.05,0.36150012203117066,3.0,-4.256374858070491,-569.8998958404375,30.010308590544547,SIGNAL_EXIT,1
2025-01-23 20:00:00,2025-01-25 04:00:00,SOLUSDT,246.84,246.96267948000002,146.8019229602046,3.0,0.1491000000000199,-10.994093425894565,29.00367699765493,STOP_LOSS,9
2025-01-25 08:00:00,2025-01-26 20:00:00,SOLUSDT,247.27,247.39289319000002,145.8356658231782,3.0,0.14910000000001628,-10.94075564984255,28.862965838628853,STOP_LOSS,10
2025-01-27 00:00:00,2025-01-27 04:00:00,SOLUSDT,240.49,230.56720107142863,149.21564647992045,3.0,-12.378226448382113,-1508.160244188992,27.523387171951224,STOP_LOSS,2
2025-01-27 16:00:00,2025-01-27 16:00:00,SOLUSDT,233.67,226.69241220108628,133.84397600097907,3.0,-8.958258825155609,-958.181224925127,24.273131022597,STOP_LOSS,1
2025-01-28 00:00:00,2025-01-28 20:00:00,SOLUSDT,234.9,232.2,120.59607092303132,3.0,-3.4482758620689875,-348.0113176268489,22.4019261346623,SIGNAL_EXIT,5
2025-01-28 20:00:00,2025-01-28 20:00:00,BTCUSDT,102424.24,100368.2949994175,0.2655129851145587,3.0,-6.02185088388014,-567.1993628289373,21.31926849292318,STOP_LOSS,1
2025-01-29 04:00:00,2025-01-31 16:00:00,BTCUSDT,102038.21,105464.0,0.24921508308278628,3.0,10.072079861063793,832.7319638563824,21.02657561779438,SIGNAL_EXIT,15
2025-01-31 16:00:00,2025-01-31 16:00:00,ETHUSDT,3427.65,3317.7056083928574,8.106399585111923,3.0,-9.622720371724892,-912.7688884034442,21.51571789391949,STOP_LOSS,1
2025-01-31 20:00:00,2025-02-01 04:00:00,ETHUSDT,3339.07,3270.255522194654,7.482052893991363,3.0,-6.182662640077574,-534.4481426471364,19.5745798351422,STOP_LOSS,3
2025-02-03 20:00:00,2025-02-04 00:00:00,BTCUSDT,101879.99,100532.509502817,0.22880213760738066,3.0,-3.9678463764562646,-326.70806059834996,18.401642458623073,STOP_LOSS,2
2025-03-03 00:00:00,2025-03-03 00:00:00,NEARUSDT,3.553,3.4945298007424452,6269.370826397284,3.0,-4.9369715106294425,-384.09816398675,17.526802547800482,STOP_LOSS,1
