entry_time,exit_time,symbol,entry_price,exit_price,units,leverage,gross_ret_pct,net_pnl_usdt,fees_paid_usdt,exit_reason,bars_held
2020-10-15 20:00:00,2020-10-16 04:00:00,BTCUSDT,11520.93,11338.09842530434,2.6018732862711604,3.0,-4.760854584542903,-499.3048264154569,23.60023632792998,STOP_LOSS,3
2020-10-18 08:00:00,2020-10-28 12:00:00,BTCUSDT,11455.4,13146.756241000001,2.478560780106045,3.0,44.29412087749013,4166.061216606546,26.068027523645583,STOP_LOSS,62
2020-10-28 16:00:00,2020-11-02 12:00:00,BTCUSDT,13221.26,13227.83096622,3.053699946375949,3.0,0.14910000000001425,-12.249302176118814,32.315061369772906,STOP_LOSS,30
2020-11-02 16:00:00,2020-11-06 12:00:00,BTCUSDT,13498.6,15572.35,2.979966959997018,3.0,46.08811284133169,6142.582412502208,37.12407079160766,SIGNAL_EXIT,23
2020-11-06 12:00:00,2020-11-07 12:00:00,ETHUSDT,443.39,443.61036483,131.87550698272685,3.0,0.14909999999999599,-17.740349734387298,46.80107341179893,STOP_LOSS,7
2020-11-07 16:00:00,2020-11-07 16:00:00,ETHUSDT,447.88,424.86602928571426,129.0353633473777,3.0,-15.415270193546753,-3013.474267154041,43.858193970271806,STOP_LOSS,1
2020-11-07 20:00:00,2020-11-09 08:00:00,ETHUSDT,431.04,444.8,112.79803826168364,3.0,9.576837416481062,1511.9629525457283,40.13805393503751,SIGNAL_EXIT,9
2020-11-09 08:00:00,2020-11-09 12:00:00,BTCUSDT,15303.27,15802.4,3.446089510107931,3.0,9.784771490014862,1676.4814692805453,43.56518789962366,SIGNAL_EXIT,1
2020-11-09 12:00:00,2020-11-09 12:00:00,ETHUSDT,458.22,436.97605125,125.72353046204677,3.0,-13.908569300772566,-2714.8147753171984,43.95053751241143,STOP_LOSS,1
2020-11-09 16:00:00,2020-11-09 20:00:00,ETHUSDT,437.71,446.55,112.70669089378877,3.0,6.058806058806081,956.0638092461992,40.26333825489711,SIGNAL_EXIT,1
2020-11-09 20:00:00,2020-11-10 12:00:00,NEARUSDT,0.8766,0.8770356702000001,59357.2511816227,3.0,0.14910000000000534,-15.786555763294647,41.646741257043374,STOP_LOSS,5
2020-11-10 16:00:00,2020-11-11 04:00:00,NEARUSDT,0.9023,0.9418401175,57417.43184175913,3.0,13.14644270198381,2227.029568969483,43.26243260191252,STOP_LOSS,4
2020-11-11 08:00:00,2020-11-11 12:00:00,NEARUSDT,0.9479,0.8744,61511.19819145359,3.0,-23.261947462812536,-4564.101380430725,43.02831335888562,SIGNAL_EXIT,1
2020-11-11 12:00:00,2020-11-12 04:00:00,ETHUSDT,460.0,457.88,96.6505047319489,3.0,-1.382608695652177,-240.3025365170639,35.40346648533181,SIGNAL_EXIT,4
2020-11-12 04:00:00,2020-11-15 16:00:00,BTCUSDT,15628.14,16027.19,2.78575637694556,3.0,7.66022060206783,1075.9378048225144,35.71827739761449,SIGNAL_EXIT,21
2020-11-15 16:00:00,2020-11-15 16:00:00,SOLUSDT,2.1965,2.063564289285714,21146.731701289096,3.0,-18.15648222822025,-2846.065920294295,34.910112299109045,STOP_LOSS,1
2020-11-15 20:00:00,2020-11-16 04:00:00,BTCUSDT,15855.29,16006.5,2.3844377408657174,3.0,2.8610640360409514,330.01762863696933,30.533202159333683,SIGNAL_EXIT,2
2020-11-16 04:00:00,2020-11-16 20:00:00,SOLUSDT,2.1591,2.2422,17917.686503805333,3.0,11.54647769904126,1456.8197191231563,32.140029343065855,SIGNAL_EXIT,4
2020-11-16 20:00:00,2020-11-17 04:00:00,BTCUSDT,16778.93,16573.57,2.558039859426784,3.0,-3.671747840893321,-559.2357476702858,33.91668213839997,SIGNAL_EXIT,2
2020-11-17 04:00:00,2020-11-17 08:00:00,SOLUSDT,2.2963,2.2478,17907.65806385313,3.0,-6.336280102774055,-900.7236831336238,32.20226703674325,SIGNAL_EXIT,1
2020-11-17 08:00:00,2020-11-18 12:00:00,BTCUSDT,16750.0,17526.75387475,2.287919680415267,3.0,13.912009697014929,1745.070632780273,32.07984409906805,STOP_LOSS,8
2020-11-18 16:00:00,2020-11-21 04:00:00,BTCUSDT,17873.89,18659.47,2.426415674193351,3.0,13.185378224885602,1869.9231209487043,36.22050438411249,SIGNAL_EXIT,15
2020-11-21 04:00:00,2020-11-21 12:00:00,NEARUSDT,1.0432,1.102,46494.68739130162,3.0,16.909509202454043,2692.8979022043723,40.98971640417151,STOP_LOSS,3
2020-11-21 16:00:00,2020-11-22 00:00:00,NEARUSDT,1.1785,1.0990846107142858,47886.62024629565,3.0,-20.216051578883583,-3845.039746334197,42.10515789745815,STOP_LOSS,3
2020-11-22 04:00:00,2020-11-22 08:00:00,BNBUSDT,30.4753,29.9452,1468.276127888439,3.0,-5.21832434791455,-813.5074332375387,35.17425784387591,SIGNAL_EXIT,1
